RBP,AUROC,AP
AATF,0.86300209,0.4472717
AGGF1,0.915944154,0.669587574
AKAP1,0.921508454,0.559955335
AKAP8L,0.901451921,0.414334287
AQR,0.881241572,0.604483605
BUD13,0.809533504,0.502525719
CSTF2T,0.924887617,0.579397714
DDX24,0.862457574,0.6380647
DDX3X,0.953362887,0.749891856
DDX52,0.869171347,0.224915688
DDX55,0.834813049,0.300580861
DDX6,0.788555692,0.432971179
DGCR8,0.773887038,0.141984937
DHX30,0.81253511,0.155665403
DROSHA,0.858508546,0.391823764
EFTUD2,0.890004645,0.482115004
EIF4G2,0.937425751,0.619387786
EWSR1,0.960914485,0.827555979
EXOSC5,0.967744745,0.831206839
FAM120A,0.899278025,0.435339113
FMR1,0.838790523,0.25279524
FUS,0.902845106,0.311276496
FXR1,0.916978926,0.508342965
FXR2,0.919662118,0.36638606
GEMIN5,0.877691473,0.396406816
GPKOW,0.864721359,0.324506663
GRWD1,0.925506218,0.433189865
GTF2F1,0.946335325,0.644077993
HNRNPK,0.969784015,0.739554906
HNRNPL,0.95957247,0.753572224
HNRNPM,0.959796212,0.699403476
IGF2BP1,0.905011692,0.544344619
IGF2BP2,0.870576167,0.451476048
ILF3,0.895172062,0.54230983
KHDRBS1,0.99640405,0.96922319
KHSRP,0.978969566,0.910170834
LIN28B,0.841216237,0.265524631
LSM11,0.800184563,0.244812594
MATR3,0.982178202,0.85745949
METAP2,0.854502712,0.289823836
MTPAP,0.785087907,0.164228223
NOLC1,0.789689694,0.331331592
NONO,0.948525457,0.617878303
PABPC4,0.842263073,0.354541176
PCBP1,0.926070165,0.494656034
PRPF8,0.830645905,0.321647012
PTBP1,0.99005707,0.978750693
PUM1,0.830310762,0.279769654
PUM2,0.969869678,0.80718228
QKI,0.983965863,0.933120663
RBFOX2,0.875362175,0.428898978
RBM15,0.912509384,0.788555045
RBM22,0.947728544,0.561851516
RPS3,0.816231318,0.180607402
SAFB2,0.967435574,0.79350811
SF3B4,0.888506947,0.465083144
SLTM,0.888106585,0.413285922
SMNDC1,0.821484123,0.20328456
SND1,0.89405905,0.266862499
SRSF1,0.874360866,0.255501223
TARDBP,0.986362051,0.881148195
TIA1,0.871805071,0.389557582
TRA2A,0.964905678,0.797320033
U2AF1,0.917576117,0.539919496
U2AF2,0.936241522,0.61488593
UCHL5,0.895689081,0.593439134
UPF1,0.95023722,0.764038845
XRN2,0.899036622,0.489220122
YBX3,0.864843635,0.470085884
ZC3H11A,0.853612054,0.356373904
ZNF622,0.896061981,0.488675781
ZNF800,0.898000611,0.379020135
