index,chromosome,start,end,strand,intron_motif,n_cells,gene_id_start,gene_id_end,n_genes,gene_id,gene_name,intron_group,intron_group_size,n_genes_per_intron_group,coeff,abs_coeff,length
MYL6_chr12:56160671-56161386,chr12,56160671,56161386,+,1,6346,ENSG00000092841,ENSG00000092841,1,ENSG00000092841,MYL6,MYL6_chr12_56161386_+,2,1,-0.27329080797434735,0.27329080797434735,715
NKAIN3_chr8:62953973-62965353,chr8,62953973,62965353,+,1,1690,ENSG00000185942,ENSG00000185942,1,ENSG00000185942,NKAIN3,NKAIN3_chr8_62965353_+,2,1,-0.6347661803614065,0.6347661803614065,11380
SNHG6_chr8:66922115-66922323,chr8,66922115,66922323,-,2,19952,ENSG00000245910,ENSG00000245910,1,ENSG00000245910,SNHG6,SNHG6_chr8_66922115_-,2,1,0.21235076697558214,0.21235076697558214,208
GOPC_chr6:117575353-117577447,chr6,117575353,117577447,-,2,3588,ENSG00000047932,ENSG00000047932,1,ENSG00000047932,GOPC,GOPC_chr6_117575353_-,2,1,1.0011365707125814,1.0011365707125814,2094
INTU_chr4:127633181-127643520,chr4,127633181,127643520,+,1,1106,ENSG00000164066,ENSG00000164066,1,ENSG00000164066,INTU,INTU_chr4_127643520_+,2,1,0.9877015185441458,0.9877015185441458,10339
RPS24_chr10:78037442-78040203,chr10,78037442,78040203,+,1,787,ENSG00000138326,ENSG00000138326,1,ENSG00000138326,RPS24,RPS24_chr10_78040203_+,3,1,-0.383552901021279,0.383552901021279,2761
RPS24_chr10:78037983-78040203,chr10,78037983,78040203,+,1,5284,ENSG00000138326,ENSG00000138326,1,ENSG00000138326,RPS24,RPS24_chr10_78040203_+,3,1,0.37442720578769056,0.37442720578769056,2220
LSAMP_chr3:115810415-115816613,chr3,115810415,115816613,-,2,352,ENSG00000185565,ENSG00000185565,1,ENSG00000185565,LSAMP,LSAMP_chr3_115810415_-,3,1,-0.802930484288425,0.802930484288425,6198
CD47_chr3:108047293-108049618,chr3,108047293,108049618,-,2,1153,ENSG00000196776,ENSG00000196776,1,ENSG00000196776,CD47,CD47_chr3_108047293_-,2,1,0.6121858746746541,0.6121858746746541,2325
RPN2_chr20:37238450-37241302,chr20,37238450,37241302,+,1,1400,ENSG00000118705,ENSG00000118705,1,ENSG00000118705,RPN2,RPN2_chr20_37241302_+,2,1,0.34504160575095555,0.34504160575095555,2852
PTPRZ1_chr7:122034116-122034281,chr7,122034116,122034281,+,1,1365,ENSG00000106278,ENSG00000106278,1,ENSG00000106278,PTPRZ1,PTPRZ1_chr7_122034281_+,2,1,-0.49219892342713567,0.49219892342713567,165
STX2_chr12:130798636-130799167,chr12,130798636,130799167,-,2,611,ENSG00000111450,,1,ENSG00000111450,STX2,STX2_chr12_130798636_-,2,1,0.7127728597741682,0.7127728597741682,531
VPS29_chr12:110496204-110499456,chr12,110496204,110499456,-,2,134,ENSG00000111237,ENSG00000111237,1,ENSG00000111237,VPS29,VPS29_chr12_110496204_-,3,1,0.06275407144847422,0.06275407144847422,3252
VPS29_chr12:110496204-110499534,chr12,110496204,110499534,-,2,1076,ENSG00000111237,ENSG00000111237,1,ENSG00000111237,VPS29,VPS29_chr12_110496204_-,3,1,-0.4292047444777756,0.4292047444777756,3330
DYNC1I2_chr2:171712827-171715327,chr2,171712827,171715327,+,1,3658,ENSG00000077380,ENSG00000077380,1,ENSG00000077380,DYNC1I2,DYNC1I2_chr2_171715327_+,2,1,0.9445488379500558,0.9445488379500558,2500
FNBP1L_chr1:93536491-93544106,chr1,93536491,93544106,+,1,170,ENSG00000137942,ENSG00000137942,1,ENSG00000137942,FNBP1L,FNBP1L_chr1_93544106_+,3,1,0.13263400691948563,0.13263400691948563,7615
FNBP1L_chr1:93541057-93544106,chr1,93541057,93544106,+,1,682,ENSG00000137942,ENSG00000137942,1,ENSG00000137942,FNBP1L,FNBP1L_chr1_93544106_+,3,1,0.4664520576279629,0.4664520576279629,3049
CADM1_chr11:115198439-115209573,chr11,115198439,115209573,-,2,1128,ENSG00000182985,ENSG00000182985,1,ENSG00000182985,CADM1,CADM1_chr11_115198439_-,2,1,-0.4267059654788778,0.4267059654788778,11134
CTTNBP2_chr7:117861317-117862097,chr7,117861317,117862097,-,2,205,ENSG00000077063,,1,ENSG00000077063,CTTNBP2,CTTNBP2_chr7_117861317_-,6,1,0.02471083414187103,0.02471083414187103,780
CTTNBP2_chr7:117861317-117872103,chr7,117861317,117872103,-,4,206,ENSG00000077063,ENSG00000077063,1,ENSG00000077063,CTTNBP2,CTTNBP2_chr7_117861317_-,6,1,-0.03327608572519669,0.03327608572519669,10786
CTTNBP2_chr7:117861317-117873334,chr7,117861317,117873334,-,2,2517,ENSG00000077063,ENSG00000077063,1,ENSG00000077063,CTTNBP2,CTTNBP2_chr7_117861317_-,6,1,-0.5173003114088347,0.5173003114088347,12017
KIF1B_chr1:10273032-10275427,chr1,10273032,10275427,+,1,1293,ENSG00000054523,ENSG00000054523,1,ENSG00000054523,KIF1B,KIF1B_chr1_10275427_+,2,1,0.7021068511816633,0.7021068511816633,2395
AP1S2_chrX:15827373-15828191,chrX,15827373,15828191,-,2,2846,ENSG00000182287,ENSG00000182287,1,ENSG00000182287,AP1S2,AP1S2_chrX_15827373_-,2,1,0.6524391524211494,0.6524391524211494,818
AKAP9_chr7:91992212-91992884,chr7,91992212,91992884,+,1,1271,ENSG00000127914,ENSG00000127914,1,ENSG00000127914,AKAP9,AKAP9_chr7_91992884_+,2,1,-0.41715597707708396,0.41715597707708396,672
CLTA_chr9:36209321-36211602,chr9,36209321,36211602,+,1,1907,ENSG00000122705,ENSG00000122705,1,ENSG00000122705,CLTA,CLTA_chr9_36211602_+,3,1,0.21229127120706526,0.21229127120706526,2281
CLTA_chr9:36210661-36211602,chr9,36210661,36211602,+,1,662,ENSG00000122705,ENSG00000122705,1,ENSG00000122705,CLTA,CLTA_chr9_36211602_+,3,1,0.10442505213031805,0.10442505213031805,941
CLTB_chr5:176392946-176396478,chr5,176392946,176396478,-,2,1531,ENSG00000175416,ENSG00000175416,1,ENSG00000175416,CLTB,CLTB_chr5_176392946_-,2,1,0.7162210413891096,0.7162210413891096,3532
ERGIC3_chr20:35554387-35555043,chr20,35554387,35555043,+,1,1549,ENSG00000125991,ENSG00000125991,1,ENSG00000125991,ERGIC3,ERGIC3_chr20_35555043_+,2,1,0.5740303517357696,0.5740303517357696,656
VDAC3_chr8:42396681-42398711,chr8,42396681,42398711,+,1,6519,ENSG00000078668,ENSG00000078668,1,ENSG00000078668,VDAC3,VDAC3_chr8_42398711_+,2,1,0.2977362670816937,0.2977362670816937,2030
RPS3A_chr4:151100589-151102870,chr4,151100589,151102870,+,1,484,ENSG00000145425,ENSG00000145425,1,ENSG00000145425,RPS3A,RPS3A_chr4_151102870_+,3,1,0.28475796799920194,0.28475796799920194,2281
RPS3A_chr4:151101163-151102870,chr4,151101163,151102870,+,1,5774,ENSG00000145425,ENSG00000145425,1,ENSG00000145425,RPS3A,RPS3A_chr4_151102870_+,3,1,-0.33113173502356563,0.33113173502356563,1707
OCIAD1_chr4:48852021-48860724,chr4,48852021,48860724,+,1,1516,ENSG00000109180,ENSG00000109180,1,ENSG00000109180,OCIAD1,OCIAD1_chr4_48860724_+,3,1,0.27106477576220106,0.27106477576220106,8703
OCIAD1_chr4:48857366-48860724,chr4,48857366,48860724,+,1,1862,ENSG00000109180,ENSG00000109180,1,ENSG00000109180,OCIAD1,OCIAD1_chr4_48860724_+,3,1,-0.3390279780099676,0.3390279780099676,3358
ATL1_chr14:50630010-50632228,chr14,50630010,50632228,+,1,3115,ENSG00000198513,ENSG00000198513,1,ENSG00000198513,ATL1,ATL1_chr14_50632228_+,2,1,0.6990580681157493,0.6990580681157493,2218
VPS13C_chr15:62023521-62023779,chr15,62023521,62023779,-,2,896,ENSG00000129003,ENSG00000129003,1,ENSG00000129003,VPS13C,VPS13C_chr15_62023521_-,3,1,0.7480847008764451,0.7480847008764451,258
SMARCE1_chr17:40637573-40642454,chr17,40637573,40642454,-,2,2762,ENSG00000073584,ENSG00000073584,1,ENSG00000073584,SMARCE1,SMARCE1_chr17_40637573_-,3,1,-0.360473399109123,0.360473399109123,4881
SMARCE1_chr17:40637573-40645575,chr17,40637573,40645575,-,2,949,ENSG00000073584,ENSG00000073584,1,ENSG00000073584,SMARCE1,SMARCE1_chr17_40637573_-,3,1,0.1869767596631534,0.1869767596631534,8002
PRPF40A_chr2:152677476-152679055,chr2,152677476,152679055,-,2,756,ENSG00000196504,ENSG00000196504,1,ENSG00000196504,PRPF40A,PRPF40A_chr2_152677476_-,2,1,-0.4511518754739352,0.4511518754739352,1579
CHD9_chr16:53208348-53209481,chr16,53208348,53209481,+,1,4592,ENSG00000177200,ENSG00000177200,1,ENSG00000177200,CHD9,CHD9_chr16_53209481_+,4,1,0.17482031984137664,0.17482031984137664,1133
CHD9_chr16:53208606-53209481,chr16,53208606,53209481,+,1,140,,ENSG00000177200,1,ENSG00000177200,CHD9,CHD9_chr16_53209481_+,4,1,-0.09149047948488798,0.09149047948488798,875
CHD9_chr16:53208710-53209481,chr16,53208710,53209481,+,1,2013,ENSG00000177200,ENSG00000177200,1,ENSG00000177200,CHD9,CHD9_chr16_53209481_+,4,1,-0.2700623782376735,0.2700623782376735,771
SGCE_chr7:94585516-94587777,chr7,94585516,94587777,-,4,552,ENSG00000127990,ENSG00000127990,1,ENSG00000127990,SGCE,SGCE_chr7_94585516_-,2,1,0.5174609323905512,0.5174609323905512,2261
H2AFY_chr5:135346058-135350822,chr5,135346058,135350822,-,2,625,ENSG00000113648,ENSG00000113648,1,ENSG00000113648,H2AFY,H2AFY_chr5_135346058_-,2,1,0.3595402526091958,0.3595402526091958,4764
PLEKHA5_chr12:19270206-19274515,chr12,19270206,19274515,+,1,542,ENSG00000052126,ENSG00000052126,1,ENSG00000052126,PLEKHA5,PLEKHA5_chr12_19274515_+,2,1,0.33663110450413136,0.33663110450413136,4309
CTNNA1_chr5:138875598-138886211,chr5,138875598,138886211,+,1,176,ENSG00000044115,ENSG00000044115,1,ENSG00000044115,CTNNA1,CTNNA1_chr5_138886211_+,3,1,0.41699312054031273,0.41699312054031273,10613
CTNNA1_chr5:138875739-138886211,chr5,138875739,138886211,+,1,330,ENSG00000044115,ENSG00000044115,1,ENSG00000044115,CTNNA1,CTNNA1_chr5_138886211_+,3,1,0.35702594588927994,0.35702594588927994,10472
OSBPL8_chr12:76450989-76459858,chr12,76450989,76459858,-,2,2123,ENSG00000091039,ENSG00000091039,1,ENSG00000091039,OSBPL8,OSBPL8_chr12_76450989_-,2,1,0.5517335808646234,0.5517335808646234,8869
KDM1A_chr1:23066072-23068538,chr1,23066072,23068538,+,1,575,ENSG00000004487,ENSG00000004487,1,ENSG00000004487,KDM1A,KDM1A_chr1_23068538_+,2,1,0.46504377419049353,0.46504377419049353,2466
USP16_chr21:29025772-29027872,chr21,29025772,29027872,+,1,714,ENSG00000156256,ENSG00000156256,1,ENSG00000156256,USP16,USP16_chr21_29027872_+,2,1,0.47904622195488233,0.47904622195488233,2100
MIR99AHG_chr21:16194634-16231055,chr21,16194634,16231055,+,1,1024,ENSG00000215386,ENSG00000215386,1,ENSG00000215386,MIR99AHG,MIR99AHG_chr21_16231055_+,3,1,-0.38606923877626087,0.38606923877626087,36421
MIR99AHG_chr21:16214379-16231055,chr21,16214379,16231055,+,1,126,ENSG00000215386,ENSG00000215386,1,ENSG00000215386,MIR99AHG,MIR99AHG_chr21_16231055_+,3,1,0.09658543134327564,0.09658543134327564,16676
ASPH_chr8:61681037-61682438,chr8,61681037,61682438,-,2,640,ENSG00000198363,ENSG00000198363,1,ENSG00000198363,ASPH,ASPH_chr8_61681037_-,2,1,0.587094136564094,0.587094136564094,1401
PSAP_chr10:71822008-71823887,chr10,71822008,71823887,-,2,1307,ENSG00000197746,ENSG00000197746,1,ENSG00000197746,PSAP,PSAP_chr10_71822008_-,2,1,0.463165702801769,0.463165702801769,1879
MEAF6_chr1:37495919-37496546,chr1,37495919,37496546,-,2,222,ENSG00000163875,ENSG00000163875,1,ENSG00000163875,MEAF6,MEAF6_chr1_37495919_-,3,1,0.06924575813165945,0.06924575813165945,627
MEAF6_chr1:37495919-37496706,chr1,37495919,37496706,-,2,1537,ENSG00000163875,ENSG00000163875,1,ENSG00000163875,MEAF6,MEAF6_chr1_37495919_-,3,1,0.6533529487981845,0.6533529487981845,787
COMMD6_chr13:75526640-75527812,chr13,75526640,75527812,-,2,2823,ENSG00000188243,ENSG00000188243,1,ENSG00000188243,COMMD6,COMMD6_chr13_75526640_-,3,1,0.14278202338982338,0.14278202338982338,1172
APLP2_chr11:130137292-130140397,chr11,130137292,130140397,+,1,497,ENSG00000084234,ENSG00000084234,1,ENSG00000084234,APLP2,APLP2_chr11_130140397_+,2,1,0.4996815086562703,0.4996815086562703,3105
SNX2_chr5:122826650-122827378,chr5,122826650,122827378,+,1,692,,ENSG00000205302,1,ENSG00000205302,SNX2,SNX2_chr5_122827378_+,2,1,0.4569875863369322,0.4569875863369322,728
CPNE3_chr8:86542075-86544739,chr8,86542075,86544739,+,1,220,,ENSG00000085719,1,ENSG00000085719,CPNE3,CPNE3_chr8_86544739_+,2,1,0.492455830589489,0.492455830589489,2664
DCTN2_chr12:57535846-57538518,chr12,57535846,57538518,-,2,2697,ENSG00000175203,ENSG00000175203,1,ENSG00000175203,DCTN2,DCTN2_chr12_57535846_-,2,1,0.3316633703965499,0.3316633703965499,2672
LIMCH1_chr4:41638968-41644499,chr4,41638968,41644499,+,1,931,ENSG00000064042,ENSG00000064042,1,ENSG00000064042,LIMCH1,LIMCH1_chr4_41644499_+,2,1,-0.27270722016495047,0.27270722016495047,5531
ENAH_chr1:225530639-225531045,chr1,225530639,225531045,-,2,352,ENSG00000154380,ENSG00000154380,1,ENSG00000154380,ENAH,ENAH_chr1_225530639_-,2,1,0.43799188920937293,0.43799188920937293,406
EHBP1_chr2:62858511-62859168,chr2,62858511,62859168,+,1,651,ENSG00000115504,ENSG00000115504,1,ENSG00000115504,EHBP1,EHBP1_chr2_62859168_+,2,1,0.5829671019372994,0.5829671019372994,657
INTS10_chr8:19849240-19851648,chr8,19849240,19851648,+,1,569,ENSG00000104613,ENSG00000104613,1,ENSG00000104613,INTS10,INTS10_chr8_19851648_+,2,1,0.5365690345621936,0.5365690345621936,2408
RPAIN_chr17:5426083-5432541,chr17,5426083,5432541,+,1,1349,ENSG00000129197,ENSG00000129197,1,ENSG00000129197,RPAIN,RPAIN_chr17_5432541_+,4,1,0.27092293201703516,0.27092293201703516,6458
RPAIN_chr17:5426300-5432541,chr17,5426300,5432541,+,1,823,ENSG00000129197,ENSG00000129197,1,ENSG00000129197,RPAIN,RPAIN_chr17_5432541_+,4,1,-0.18239365627787651,0.18239365627787651,6241
RPAIN_chr17:5428212-5432541,chr17,5428212,5432541,+,1,3838,ENSG00000129197,ENSG00000129197,1,ENSG00000129197,RPAIN,RPAIN_chr17_5432541_+,4,1,-0.12996501679143946,0.12996501679143946,4329
PKM_chr15:72200656-72202453,chr15,72200656,72202453,-,2,598,ENSG00000067225,ENSG00000067225,1,ENSG00000067225,PKM,PKM_chr15_72200656_-,2,1,-0.35407628161522386,0.35407628161522386,1797
SYPL1_chr7:106093138-106096292,chr7,106093138,106096292,-,2,241,ENSG00000008282,ENSG00000008282,1,ENSG00000008282,SYPL1,SYPL1_chr7_106093138_-,2,1,0.644251841458723,0.644251841458723,3154
CCSER2_chr10:84425049-84425730,chr10,84425049,84425730,+,1,134,ENSG00000107771,ENSG00000107771,1,ENSG00000107771,CCSER2,CCSER2_chr10_84425730_+,2,1,-0.6308683509075975,0.6308683509075975,681
CHPT1_chr12:101719517-101720122,chr12,101719517,101720122,+,1,230,ENSG00000111666,ENSG00000111666,1,ENSG00000111666,CHPT1,CHPT1_chr12_101720122_+,2,1,0.603137935289556,0.603137935289556,605
HP1BP3_chr1:20779912-20780344,chr1,20779912,20780344,-,2,2172,ENSG00000127483,ENSG00000127483,1,ENSG00000127483,HP1BP3,HP1BP3_chr1_20779912_-,4,1,-0.19131240230205898,0.19131240230205898,432
HP1BP3_chr1:20779912-20786185,chr1,20779912,20786185,-,2,195,ENSG00000127483,ENSG00000127483,1,ENSG00000127483,HP1BP3,HP1BP3_chr1_20779912_-,4,1,0.053033632043753845,0.053033632043753845,6273
HP1BP3_chr1:20779912-20786648,chr1,20779912,20786648,-,2,231,ENSG00000127483,,1,ENSG00000127483,HP1BP3,HP1BP3_chr1_20779912_-,4,1,-0.01482272425736822,0.01482272425736822,6736
EXOC1_chr4:55866893-55868335,chr4,55866893,55868335,+,1,539,,ENSG00000090989,1,ENSG00000090989,EXOC1,EXOC1_chr4_55868335_+,2,1,0.6635934188039204,0.6635934188039204,1442
CHL1_chr3:343032-344588,chr3,343032,344588,+,1,427,ENSG00000134121,ENSG00000134121,1,ENSG00000134121,CHL1,CHL1_chr3_344588_+,2,1,-0.4552030578074914,0.4552030578074914,1556
FHL1_chrX:136209443-136209870,chrX,136209443,136209870,+,1,589,ENSG00000022267,ENSG00000022267,1,ENSG00000022267,FHL1,FHL1_chrX_136209870_+,2,1,0.35681630734260744,0.35681630734260744,427
APC_chr5:112707883-112754872,chr5,112707883,112754872,+,1,792,ENSG00000134982,ENSG00000134982,1,ENSG00000134982,APC,APC_chr5_112754872_+,4,1,-0.19501994708242865,0.19501994708242865,46989
APC_chr5:112737926-112754872,chr5,112737926,112754872,+,1,4052,ENSG00000134982,ENSG00000134982,1,ENSG00000134982,APC,APC_chr5_112754872_+,4,1,0.2584660795506256,0.2584660795506256,16946
APC_chr5:112738461-112754872,chr5,112738461,112754872,+,1,249,ENSG00000134982,ENSG00000134982,1,ENSG00000134982,APC,APC_chr5_112754872_+,4,1,-0.03693342441901826,0.03693342441901826,16411
ADD1_chr4:2926676-2928170,chr4,2926676,2928170,+,1,530,ENSG00000087274,ENSG00000087274,1,ENSG00000087274,ADD1,ADD1_chr4_2928170_+,2,1,0.6684431531292097,0.6684431531292097,1494
SMAP1_chr6:70791770-70798656,chr6,70791770,70798656,+,1,760,ENSG00000112305,ENSG00000112305,1,ENSG00000112305,SMAP1,SMAP1_chr6_70798656_+,2,1,0.5916471630309293,0.5916471630309293,6886
PPP1R12A_chr12:79805769-79806165,chr12,79805769,79806165,-,2,1695,ENSG00000058272,ENSG00000058272,1,ENSG00000058272,PPP1R12A,PPP1R12A_chr12_79805769_-,2,1,0.36816312312131955,0.36816312312131955,396
